card_id,title,rarity,type,faction,brief,must_have,avoid,background,lighting
growth_thorn_lash,Thorn Lash,common,Strike,Growth,"Thorn Lash: strike moment — If target has a Seed, deal 2 extra damage.",leaf/seed/vine/forrest/ruins/nature motifs; a whip made of thorns; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_blossom_strike,Blossom Strike,common,Strike,Growth,Blossom Strike: strike moment — Gain 1 Seed.,leaf/seed/vine/forrest/ruins/nature motifs; a sword made of flowers and petals; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_whip,Vine Whip,common,Strike,Growth,Vine Whip: strike moment — Deal 4 damage twice.,leaf/seed/vine/forrest/ruins/nature motifs; a whipe made of vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_bud_burst,Bud Burst,uncommon,Strike,Growth,"Bud Burst: strike moment — If you have >=3 Seeds, draw 1 card.",leaf/seed/vine/forrest/ruins/nature motifs; a flower bud exploding; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_spray,Petal Spray,common,Strike,Growth,Petal Spray: strike moment — Deal 3 damage to all enemies.,leaf/seed/vine/forrest/ruins/nature motifs; a cone of petals attacking; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_root_smash,Root Smash,uncommon,Strike,Growth,Root Smash: strike moment — Apply 2 Weak.,"leaf/seed/vine/forrest/ruins/nature motifs; a tree root, smashing the ground; warm sunlight particles; green-gold palette","sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sap_shot,Sap Shot,common,Strike,Growth,Sap Shot: strike moment — Heal 2 HP.,leaf/seed/vine/forrest/ruins/nature motifs; a wooden blow dart weapon shooting sap; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorned_blade,Thorned Blade,common,Strike,Growth,"Thorned Blade: strike moment — If played consecutively, cost 0 next Strike.",leaf/seed/vine/forrest/ruins/nature motifs; a sword with a thorny blade; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_gilded_bud,Gilded Bud,uncommon,Strike,Growth,Gilded Bud: strike moment — Gain 1 Growth Rune.,leaf/seed/vine/forrest/ruins/nature motifs; a goldem flower bud used as a mace; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_blooming_edge,Blooming Edge,uncommon,Strike,Growth,Blooming Edge: strike moment — Apply 1 Vulnerable.,leaf/seed/vine/forrest/ruins/nature motifs; a sword with sharp petals as the balde; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_pierce,Petal Pierce,common,Strike,Growth,"Petal Pierce: strike moment — If enemy is Poisoned, gain 1 Seed.",leaf/seed/vine/forrest/ruins/nature motifs; a few petals that attack like throwing knives ;warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seeded_slash,Seeded Slash,common,Strike,Growth,Seeded Slash: strike moment — Plant a Seed.,leaf/seed/vine/forrest/ruins/nature motifs; a few seeds that attack like throwing knives; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorn_barrage,Thorn Barrage,rare,Strike,Growth,Thorn Barrage: strike moment — Deal 4 damage 3 times.,leaf/seed/vine/forrest/ruins/nature motifs; a mass of thorns and vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sappy_lunge,Sappy Lunge,common,Strike,Growth,"Sappy Lunge: strike moment — If no Seeds, gain 2 Seeds.",leaf/seed/vine/forrest/ruins/nature motifs; a fist shaped sap punching; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_cleaver,Vine Cleaver,uncommon,Strike,Growth,Vine Cleaver: strike moment — Deal 9 damage to all enemies if you have >=4 Seeds.,leaf/seed/vine/forrest/ruins/nature motifs; a cleaver made of vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seed_shield,Seed Shield,common,Tactic,Growth,Seed Shield: tactic moment — Plant a Seed.,leaf/seed/vine/forrest/ruins/nature motifs; a shield made of seeds; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_trap,Vine Trap,common,Tactic,Growth,Vine Trap: tactic moment — Place a trap: first enemy to move takes 8 damage.,leaf/seed/vine/forrest/ruins/nature motifs; a floor trap made from vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sprout_heal,Sprout Heal,common,Tactic,Growth,Sprout Heal: tactic moment — Heal 5 HP. Draw 1 card.,leaf/seed/vine/forrest/ruins/nature motifs; a small sprout radiating healing energy; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_fertile_soil,Fertile Soil,uncommon,Tactic,Growth,Fertile Soil: tactic moment — Next Growth Strike gains +3 damage.,leaf/seed/vine/forrest/ruins/nature motifs; crops growing strong; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_rooting_pulse,Rooting Pulse,common,Tactic,Growth,Rooting Pulse: tactic moment — Apply 2 Vulnerable to all enemies.,leaf/seed/vine/forrest/ruins/nature motifs; a root system going underground and pulsating;  warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seedlings,Seedlings,common,Tactic,Growth,Seedlings: tactic moment — Gain 2 Seeds.,"leaf/seed/vine/forrest/ruins/nature motifs; 2 little seed characters, happy; warm sunlight particles; green-gold palette","sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorn_wall,Thorn Wall,uncommon,Tactic,Growth,Thorn Wall: tactic moment — Deal 4 damage to attackers.,leaf/seed/vine/forrest/ruins/nature motifs; a wall of thorns and vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_veil,Petal Veil,uncommon,Tactic,Growth,Petal Veil: tactic moment — Reduce next damage by 4.,leaf/seed/vine/forrest/ruins/nature motifs; a veil of petals that protect; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sap_shield,Sap Shield,common,Tactic,Growth,Sap Shield: tactic moment — Next Ritual costs 1 less.,leaf/seed/vine/forrest/ruins/nature motifs; a sheild made of sap; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_bud_barrier,Bud Barrier,common,Tactic,Growth,"Bud Barrier: tactic moment — If you have >=2 Seeds, gain an extra card.",leaf/seed/vine/forrest/ruins/nature motifs; a barrier made from glower buds; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sprout_sentry,Sprout Sentry,uncommon,Tactic,Growth,"Sprout Sentry: tactic moment — Summon a Seedling: at end of turn, heal 2 HP.",leaf/seed/vine/forrest/ruins/nature motifs; a sproutling morphed into a sentry gun; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_step,Petal Step,common,Tactic,Growth,Petal Step: tactic moment — Dodge an attack this turn.,leaf/seed/vine/forrest/ruins/nature motifs; petals in the shape of footsteps with smaller petals coming off of them like particles; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_growth_glyph,Growth Glyph,uncommon,Tactic,Growth,Growth Glyph: tactic moment — Next two Strikes are free.,leaf/seed/vine/forrest/ruins/nature motifs; a glyph of stone with vines coming ouit of it; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_mossy_guard,Mossy Guard,common,Tactic,Growth,Mossy Guard: tactic moment — Gain 1 Growth Rune.,leaf/seed/vine/forrest/ruins/nature motifs; a castle guard type humanoid made of moss; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_parade,Petal Parade,rare,Tactic,Growth,Petal Parade: tactic moment — Strikes Hit All Enemies.,"leaf/seed/vine/forrest/ruins/nature motifs; a squadrant opf petals ,marching; warm sunlight particles; green-gold palette","sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_growth_ritual,Growth Ritual,common,Ritual,Growth,Growth Ritual: ritual moment — Gain 1 Energy next turn if you've played a Ritual this combat.,leaf/seed/vine/forrest/ruins/nature motifs; a magic ritual circle in the forest; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_garden_bloom,Garden Bloom,uncommon,Ritual,Growth,"Garden Bloom: ritual moment — At end of turn, draw 1 card and gain 1 Seed.",leaf/seed/vine/forrest/ruins/nature motifs; a garden overgrowing with beautiful flowers; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_growth_aura,Growth Aura,uncommon,Ritual,Growth,Growth Aura: ritual moment — All Strikes deal +2 damage.,leaf/seed/vine/forrest/ruins/nature motifs; a single plant glowing as if it was being grown quickly and magically; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seed_surge,Seed Surge,rare,Ritual,Growth,"Seed Surge: ritual moment — At start of each turn, gain 1 Energy.",leaf/seed/vine/forrest/ruins/nature motifs; a seed getting bigger and glowing; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorned_roots,Thorned Roots,uncommon,Ritual,Growth,"Thorned Roots: ritual moment — Whenever you gain Block, enemies lose 1 Strength.",leaf/seed/vine/forrest/ruins/nature motifs; thorny roots coming from the ground and into the sky; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_verdant_warding,Verdant Warding,uncommon,Ritual,Growth,"Verdant Warding: ritual moment — At end of combat, heal 5 HP.",leaf/seed/vine/forrest/ruins/nature motifs; a bunch of stone glypgs floating and glowing; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_blooming_ward,Blooming Ward,rare,Ritual,Growth,"Blooming Ward: ritual moment — At end of turn, apply 1 Poison to all enemies.",leaf/seed/vine/forrest/ruins/nature motifs; a totem with plants and flowers growing from it; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sprouting_might,Sprouting Might,uncommon,Ritual,Growth,Sprouting Might: ritual moment — Strikes cost 0 if you played >=3 Strikes last turn.,leaf/seed/vine/forrest/ruins/nature motifs; a sproutling getting buff and strong; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_fungal_fortress,Fungal Fortress,rare,Ritual,Growth,Fungal Fortress: ritual moment — Gain 2 Seeds at end of each turn.,leaf/seed/vine/forrest/ruins/nature motifs; a castle made of fungus; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_rooted_resolve,Rooted Resolve,uncommon,Ritual,Growth,"Rooted Resolve: ritual moment — At start of combat, gain 5 Block.","leaf/seed/vine/forrest/ruins/nature motifs; a humanoid stuck to the ground by vines, waiting to defend; warm sunlight particles; green-gold palette","sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_natures_boon,Nature's Boon,rare,Ritual,Growth,Nature's Boon: ritual moment — Gain 2 Growth Runes.,leaf/seed/vine/forrest/ruins/nature motifs; a green ray of light with vines and petals; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_verdant_bond,Verdant Bond,uncommon,Ritual,Growth,"Verdant Bond: ritual moment — Whenever you play a Ritual, draw 1 card.",leaf/seed/vine/forrest/ruins/nature motifs; a fungus hand and a vine hand shaking hands; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seed_of_renewal,Seed of Renewal,rare,Ritual,Growth,"Seed of Renewal: ritual moment — At end of turn, remove one negative status.",leaf/seed/vine/forrest/ruins/nature motifs; a seed cracking with green energy; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_overgrowth,Overgrowth,rare,Ritual,Growth,Overgrowth: ritual moment — All Strikes and Tactics gain +1 effect.,leaf/seed/vine/forrest/ruins/nature motifs; and overrgrown wall of petals and vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_eternal_blossom,Eternal Blossom,legendary,Ritual,Growth,"Eternal Blossom: ritual moment — At end of combat, retain all unplayed cards.",leaf/seed/vine/forrest/ruins/nature motifs; a powerful flower in full bloom glowing with gold; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
