card_id,title,rarity,type,faction,brief,must_have,avoid,background,lighting
growth_thorn_lash,Thorn Lash,common,Strike,Growth,"Thorn Lash: strike moment — If target has a Seed, deal 2 extra damage.",leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_blossom_strike,Blossom Strike,common,Strike,Growth,Blossom Strike: strike moment — Gain 1 Seed.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_whip,Vine Whip,common,Strike,Growth,Vine Whip: strike moment — Deal 4 damage twice.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_bud_burst,Bud Burst,uncommon,Strike,Growth,"Bud Burst: strike moment — If you have >=3 Seeds, draw 1 card.",leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_spray,Petal Spray,common,Strike,Growth,Petal Spray: strike moment — Deal 3 damage to all enemies.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_root_smash,Root Smash,uncommon,Strike,Growth,Root Smash: strike moment — Apply 2 Weak.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sap_shot,Sap Shot,common,Strike,Growth,Sap Shot: strike moment — Heal 2 HP.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorned_blade,Thorned Blade,common,Strike,Growth,"Thorned Blade: strike moment — If played consecutively, cost 0 next Strike.",leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_gilded_bud,Gilded Bud,uncommon,Strike,Growth,Gilded Bud: strike moment — Gain 1 Growth Rune.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_blooming_edge,Blooming Edge,uncommon,Strike,Growth,Blooming Edge: strike moment — Apply 1 Vulnerable.,leaf/seed/vine/forrest/ruins/nature motifs; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_petal_pierce,Petal Pierce,common,Strike,Growth,"Petal Pierce: strike moment — If enemy is Poisoned, gain 1 Seed.",leaf/seed/vine/forrest/ruins/nature motifs; a few petals that attack like throwing knives ;warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seeded_slash,Seeded Slash,common,Strike,Growth,Seeded Slash: strike moment — Plant a Seed.,leaf/seed/vine/forrest/ruins/nature motifs; a few seeds that attack like throwing knives; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_thorn_barrage,Thorn Barrage,rare,Strike,Growth,Thorn Barrage: strike moment — Deal 4 damage 3 times.,leaf/seed/vine/forrest/ruins/nature motifs; a mass of thorns and vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_sappy_lunge,Sappy Lunge,common,Strike,Growth,"Sappy Lunge: strike moment — If no Seeds, gain 2 Seeds.",leaf/seed/vine/forrest/ruins/nature motifs; a fist shaped sap punching; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_cleaver,Vine Cleaver,uncommon,Strike,Growth,Vine Cleaver: strike moment — Deal 9 damage to all enemies if you have >=4 Seeds.,leaf/seed/vine/forrest/ruins/nature motifs; a cleaver made of vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_seed_shield,Seed Shield,common,Tactic,Growth,Seed Shield: tactic moment — Plant a Seed.,leaf/seed/vine/forrest/ruins/nature motifs; a shield made of seeds; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
growth_vine_trap,Vine Trap,common,Tactic,Growth,Vine Trap: tactic moment — Place a trap: first enemy to move takes 8 damage.,leaf/seed/vine/forrest/ruins/nature motifs; a floor trap made from vines; warm sunlight particles; green-gold palette,"sci‑fi tech, firearms, gore, modern clothing, text labels",mossy forest ruins / soft fog,warm key from left; cool cyan rim from right; soft volumetric dust
