card_id,title,rarity,type,faction,brief,must_have,avoid,background,lighting
elemental_flame_lash,Flame Lash,common,Strike,Elemental,Flame Lash: strike moment — Apply 1 Burn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A whip of wildfire snaps between ancient pines, scattering embers across mossy ground.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_spark_jab,Spark Jab,common,Strike,Elemental,Spark Jab: strike moment — Deal 4 damage twice.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A needle of light arcs from a mossy rune-stone, pricking bark with sparks.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_electro_surge,Electro Surge,uncommon,Strike,Elemental,Electro Surge: strike moment — Stun if enemy has Burn.,elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Branches glow blue as a surge races along wet vines in a stormed grove.,"guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_gale_slash,Gale Slash,uncommon,Strike,Elemental,Gale Slash: strike moment — Draw 1 card.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A razor wind scythes through ferns, curving leaves and tossing spores into air.","guns, modern tech, text labels",high pass / fast-moving clouds,cool daylight key; white rim
elemental_thunder_clap,Thunder Clap,rare,Strike,Elemental,Thunder Clap: strike moment — Deal to all enemies.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Thunder splits a canopy, shockwave rippling puddles and shaking cones","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_ice_shard,Ice Shard,common,Strike,Elemental,Ice Shard: strike moment — Apply 1 Chill.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Crystal splinters spear from a frostbitten stump, glittering over lichen and needles.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_shockwave,Shockwave,uncommon,Strike,Elemental,Shockwave: strike moment — Enemy has 20% chance to miss next turn due to Paralysis.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A ring of force lifts leaf-litter outward, bending saplings in a perfect circle.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_lava_burst,Lava Burst,uncommon,Strike,Elemental,Lava Burst: strike moment — Apply 2 Burn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Molten rock geysers from a root-cracked fissure, igniting pinecones mid-flight.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_storm_fang,Storm Fang,common,Strike,Elemental,"Storm Fang: strike moment — If enemy has Chill, +2 damage.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A curved bolt bites from cloud to stone idol, leaving charred fern silhouettes.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_frost_bite,Frost Bite,rare,Strike,Elemental,Frost Bite: strike moment — Apply 2 Chill.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Hoarfrost crawls up a fallen log, freezing mushrooms mid-drip.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_arc_bolt,Arc Bolt,uncommon,Strike,Elemental,Arc Bolt: strike moment — Pierces Block.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers: A clean, crescent bolt leaps between two totems, humming above damp moss.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_ember_shot,Ember Shot,common,Strike,Elemental,Ember Shot: strike moment — Deal Burn next turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A single ember streaks like an arrow, trailing sparks through cedar shade.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_wind_cleave,Wind Cleave,uncommon,Strike,Elemental,Wind Cleave: strike moment — All enemies if you have >=2 Chill.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Twin gusts crosscut a glade, carving a V through swirling pollen.","guns, modern tech, text labels",high pass / fast-moving clouds,cool daylight key; white rim
elemental_volt_barrage,Volt Barrage,rare,Strike,Elemental,Volt Barrage: strike moment — Deal 4\u00d7 damage.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Staccato lightning peppers a clearing, pitting stones and spotlighting startled owls.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_glacial_edge,Glacial Edge,common,Strike,Elemental,Glacial Edge: strike moment — Apply Chill and draw 1.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A blade of blue ice juts from earth, rimmed with mist and pine needles.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_static_shield,Static Shield,common,Tactic,Elemental,Static Shield: tactic moment — Enemy takes 3 damage on attack.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Hair-fine arcs web around a standing stone, lifting leaves to hover weightless.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_flame_guard,Flame Guard,uncommon,Tactic,Elemental,Flame Guard: tactic moment — Apply 1 Burn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A calm ring of flame encircles an ancient oak, fire bending around bark.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_gust_barrier,Gust Barrier,common,Tactic,Elemental,Gust Barrier: tactic moment — Draw 1 if you have Chill.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Transparent currents spiral into a wall, deflecting drifting petals and dust.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_frost_wall,Frost Wall,uncommon,Tactic,Elemental,Frost Wall: tactic moment — Apply 2 Chill.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A pane of opaque ice rises between trunks, etched with fernlike fractals.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_thunder_ward,Thunder Ward,common,Tactic,Elemental,Thunder Ward: tactic moment — Next Strike costs 0.,elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Bronze warding plates on a stump glow as thunderheads gather overhead.,"guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_magma_mantle,Magma Mantle,uncommon,Tactic,Elemental,Magma Mantle: tactic moment — Apply Burn to all enemies.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Lava plates cool into dark armor over roots, veined with dull red.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_zephyr_veil,Zephyr Veil,common,Tactic,Elemental,Zephyr Veil: tactic moment — Dodge next attack.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A soft, ribboning breeze lifts leaves into a protective, swirling curtain.","guns, modern tech, text labels",high pass / fast-moving clouds,cool daylight key; white rim
elemental_icy_embrace,Icy Embrace,uncommon,Tactic,Elemental,Icy Embrace: tactic moment — Enemy loses 1 Strength when blocked.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Gentle frost coils around a sapling, glassy vines clasping it without harm.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_scorching_aura,Scorching Aura,common,Tactic,Elemental,Scorching Aura: tactic moment — Apply 1 Burn at end of turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Heat haze shimmers above soil, turning air into wavering gold around stones.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_storm_sentinel,Storm Sentinel,uncommon,Tactic,Elemental,Storm Sentinel: tactic moment — Summon storm wisp: deals 2 damage each turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A tall totem crowned with stormclouds watches a glade, eyes lit by lightning.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_frost_step,Frost Step,common,Tactic,Elemental,Frost Step: tactic moment — Gain 1 Chill and 1 Energy.,elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Each footprint across needles blossoms into crystalline ice flowers.,"guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_electro_glyph,Electro Glyph,uncommon,Tactic,Elemental,Electro Glyph: tactic moment — Next two Strikes apply +1 Burn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A glowing sigil hovers over a stump, tiny bolts skittering along its lines.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_molten_ward,Molten Ward,common,Tactic,Elemental,Molten Ward: tactic moment — Gain Burn when blocked.,elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A ring of cooled basalt studded with ember cracks protects a small clearing.,"guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_elemental_ward,Elemental Ward,uncommon,Tactic,Elemental,Elemental Ward: tactic moment — Gain 10 Block if you played a Ritual this turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Prismatic currents—flame, frost, wind, and lightning—interlock around a central stone.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_avalanche,Avalanche,uncommon,Tactic,Elemental,Avalanche: tactic moment — Apply 1 Chill to all enemies.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A tide of snow pours between firs, snapping branches and burying old tracks.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_elemental_ritual,Elemental Ritual,common,Ritual,Elemental,Elemental Ritual: ritual moment — Gain 1 Energy next turn if you played a Ritual.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Four candles of flame, frost, wind, and spark orbit a moss altar in balance.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_burning_ritual,Burning Ritual,uncommon,Ritual,Elemental,"Burning Ritual: ritual moment — At end of turn, apply 1 Burn to all enemies.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Charcoal runes ignite around a circle of acorns, smoke curling straight upward.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_storm_ritual,Storm Ritual,rare,Ritual,Elemental,Storm Ritual: ritual moment — All Strikes deal +2 damage this turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Wet leaves spiral as raindrops freeze midair, then crackle with electricity.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_glacial_surge,Glacial Surge,rare,Ritual,Elemental,"Glacial Surge: ritual moment — At start of turn, apply 1 Chill to all enemies.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A low wave of blue ice rolls over stones, leaving rime-kissed ferns behind.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_lava_flow,Lava Flow,uncommon,Ritual,Elemental,"Lava Flow: ritual moment — Whenever you play a Strike, apply 1 Burn.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A slow, glowing ribbon winds between roots, reflecting in puddled moonlight.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_zephyr_shield,Zephyr Shield,uncommon,Ritual,Elemental,Zephyr Shield: ritual moment — Gain 8 Block at start of combat.,elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A domed breeze scatters arrows of pine needles harmlessly aside.,"guns, modern tech, text labels",high pass / fast-moving clouds,cool daylight key; white rim
elemental_frost_armor,Frost Armor,rare,Ritual,Elemental,Frost Armor: ritual moment — Enemies lose 1 Energy when attacking.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Bark plates frost over a trunk like overlapping scales, sparkling in shade.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_chain_lightning,Chain Lightning,rare,Ritual,Elemental,Chain Lightning: ritual moment — Deal 4 damage to 2 random enemies.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Lightning leaps tree to tree in sequence, tracing a jagged forest path.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_ember_bond,Ember Bond,uncommon,Ritual,Elemental,"Ember Bond: ritual moment — Whenever you play a Ritual, draw 1 card.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Two distant camp-embers flare in unison, a glowing thread linking them through leaves.","guns, modern tech, text labels",lava field / heat shimmer,fiery orange key; cool blue rim
elemental_frozen_path,Frozen Path,rare,Ritual,Elemental,Frozen Path: ritual moment — All Tactics cost 0 next turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A winding trail of ice tiles forms across mud, reflecting canopy light.","guns, modern tech, text labels",blue ice cave / drifting snow,cold cyan key; faint warm rim
elemental_storms_embrace,Storm’s Embrace,rare,Ritual,Elemental,"Storm’s Embrace: ritual moment — At end of combat, gain 5 Energy.","elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Vines sway toward a central vortex where rain, wind, and light unite.","guns, modern tech, text labels",storm cliffs / forked lightning,electric blue key; warm rim
elemental_eternal_elemental,Eternal Elemental,legendary,Ritual,Elemental,Eternal Elemental: ritual moment — Retain all unplayed cards at end of combat.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A timeless ring of stones cycles fire, water, air, and ice in endless loop.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_rune_of_fury,Rune of Fury,uncommon,Ritual,Elemental,Rune of Fury: ritual moment — All Strikes deal +2 damage.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A red glyph burns on bark, sparks shedding like fiery seeds.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_rune_of_defense,Rune of Defense,uncommon,Ritual,Elemental,Rune of Defense: ritual moment — All Tactics cost 0 next turn.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; A cool blue sigil settles into stone, projecting a faint protective dome.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
elemental_rune_of_elements,Rune of Elements,rare,Ritual,Elemental,Rune of Elements: ritual moment — Strikes and Tactics apply one random elemental status.,"elemental VFX matching name (fire/ice/lightning/wind/lava); runic embers; Interlocked tri-runes—flame, frost, and storm—glow softly on a moss-wet slab.","guns, modern tech, text labels",elemental shrine,element-colored key; neutral rim
